29585	37,62189531	55,83507858	 Обзорная экскурсия для слабослышащих посетителей	free	Экскурсия	6
29330	37,62748588	55,83125581	«Макс Рихтер. Времена года — recompose». Концерт Tchaikovsky Orchestra	not free	Развлечение	7
29587	37,62189531	55,83507858	Тематическая экскурсия «Жизнь на орбите»	free	Экскурсия	8
29588	37,62189531	55,83507858	Лекция «Интеркосмос»	free	Лекции и мастер-классы	9
29589	37,62189531	55,83507858	Тематическая экскурсия «До Луны и обратно»	free	Экскурсия	1
29590	37,62189531	55,83507858	Тематическая экскурсия «Форпосты в космосе»	free	Экскурсия	2
29347	37,62748588	55,83125581	«Еврейская фольклорная музыка». Концерт Moscow Klezmer Band	not free	Развлечение	3
29348	37,62748588	55,83125581	«Веселые ребята». Концерт Krazy brass show	not free	Развлечение	4
24485	37,62748588	55,83125581	«Макс Рихтер». Концерт HighTime Orchestra	not free	Развлечение	5
29349	37,62748588	55,83125581	«Танцы в тропиках». Концерт Willie Key	not free	Развлечение	6
23977	37,61632894	55,8363261	Постоянная экспозиция экоцентра «Пчеловодство» 	not free	Экскурсия	7
29356	37,61823785	55,83574682	Мастер-класс «Выращивание микрозелени» 	not free	Лекции и мастер-классы	8
29358	37,61823785	55,83574682	Открытый урок «Сити-фермер — профессия будущего»	not free	Лекции и мастер-классы	9
22704	37,61975062	55,83494285	Экскурсии по выставке «12 признаков живого»	free	Экскурсия	1
11698	37,62189531	55,83507858	Онлайн-экскурсия «Жизнь на орбите»	free	Экскурсия	2
11699	37,62698722	55,83274949	Онлайн-экскурсия «История слов: книги, граффити, мессенджеры»	free	Экскурсия	3
27059	37,62119794	55,83704298	Выставка «Борьба за скорость»	free	Выставка	4
2493	37,63807977	55,82657411	Постоянная экспозиция Музея ВДНХ	free	Выставка	5
28100	37,62036127	55,83996801	Курс лекций Аrt&Business	free	Лекции и мастер-классы	6
7375	37,62834299	55,82907903	Интерактивный спектакль «Сказочная кругосветка»	free	Развлечение	7
14032	37,62189531	55,83507858	5D-кинотеатр «Космическая сфера»	not free	Развлечение	8
15312	37,62152749	55,83101917	Йога на ВДНХ	free	Спорт	9
27603	37,62698722	55,83274949	Школа граффити на ВДНХ	free	Лекции и мастер-классы	1
4566	37,63807977	55,82657411	«Путеводитель по ВДНХ». Обзорная экскурсия по Выставке	free	Экскурсия	2
29142	37,62036127	55,83996801	«ВДНХ. Наше время». Персональная выставка Юлии Волконской 	free	Выставка	3
29399	37,63337517	55,8307158	Экспозиция «Армянские национальные таразы»	free	Выставка	4
6104	37,62834299	55,82907903	Интерактивное шоу «Сказка номер один. Возвращение»	free	Развлечение	5
25308	37,62748588	55,83125581	«Саундтреки Голливуда». Концерт HighTime Orchestra	not free	Развлечение	6
21469	37,60678607	55,82572194	Клуб по игре в лакросс 	free	Спорт	7
30175	37,62155736	55,83435828	Инсталляция «Машина времени» 	not free	Выставка	8
25312	37,62748588	55,83125581	«Неоклассика: пульс времени — лето». Концерт NÉOrchestra	not free	Развлечение	9
29411	37,61823785	55,83574682	Мастер-класс «Цветочные амулеты» 	not free	Лекции и мастер-классы	1
30435	37,6202951	55,83094381	Школа искусств в «Детском посольстве»	not free	Образование	2
30180	37,64621973	55,82832351	Лекция «Я так вижу. Секреты пленочной фотографии»	free	Лекции и мастер-классы	3
30436	37,6202951	55,83094381	Классы актерского мастерства для детей «Школа волшебников» 	not free	Образование	4
30182	37,64621973	55,82832351	Спектакль «Сон одной маленькой девочки»	free	Развлечение	5
30438	37,62748588	55,83125581	Выставка «Истоки становления нефтедобычи на Апшеронском полуострове»	free	Выставка	6
26344	37,63029879	55,83441924	Фотовыставка «Мегапроекты Москвы»	free	Выставка	7
28648	37,62748588	55,83125581	«Хиты Queen». Концерт HighTime Оrchestra	not free	Развлечение	8
26346	37,63029879	55,83441924	Светотехническое шоу «Вселенная Москва»	free	Развлечение	10
26860	37,61823785	55,83574682	Тематические экскурсии «Погружение в природу»	not free	Экскурсия	1
26867	37,61823785	55,83574682	Квест «Что снится семечку?»	not free	Развлечение	2
6389	37,62682218	55,82771632	Постоянная экспозиция мультимедийного центра «Союзмультпарк»	free	Развлечение	3
24822	37,62899477	55,83019744	Ювелирная выставка «Эмоции и магия» 	free	Выставка	4
30458	37,63138582	55,82872033	Презентация аромата Amore Robotico, синтезированного нейросетью	not free	Развлечение	5
30204	37,62189531	55,83507858	Космический дайджест 	free	Лекции и мастер-классы	6
30460	37,61993408	55,83006491	Презентация книги «Сом в летнюю ночь»	free	Развлечение	7
30463	37,61632894	55,8363261	Занятие «Про бобров»	free	Лекции и мастер-классы	8
13893	37,62189531	55,83507858	Интерактивная выставка «Фанерон. Город мечты»	free	Выставка	9
11914	37,62189531	55,83507858	Семейный квест «Космический экипаж»	free	Развлечение	1
14486	37,62189531	55,83507858	Экскурсия-квест «Космический месседж»	free	Развлечение	2
14012	37,62189531	55,83507858	Экскурсия-квест «В поисках отважной Кусачки»	free	Развлечение	3
14013	37,62189531	55,83507858	Экскурсия-квест «Школа юных космонавтов»	free	Развлечение	4
14015	37,62189531	55,83507858	Экскурсия-квест «Агент Космо ведет расследование. Тайна зеленых человечков»	free	Развлечение	5
13775	37,62698722	55,83274949	Экскурсия-квест «Кирилл и Мефодий: миссия выполнима»	free	Развлечение	6
9089	37,63807977	55,82657411	Экскурсия «Интеллектуальная прогулка: культурный код ВДНХ»	free	Экскурсия	7
4252			«Люди над людьми». Спецпроект о скульптурах на ВДНХ	free	Онлайн	8
5866	37,63807977	55,82657411	Экскурсии «Национальный колорит ВДНХ»	free	Экскурсия	9
5867	37,63807977	55,82657411	Экскурсии «Путешествие во времени. ВДНХ. Сквозь годы и эпохи»	free	Экскурсия	1
5868	37,63807977	55,82657411	Экскурсии «Вдали от шума городского. Прогулка по Ландшафтному парку»	free	Экскурсия	2
9166	37,62189531	55,83507858	Комбо №1. Музей ГОН + центр «Космонавтика и авиация»	not free	Развлечение	3
9168	37,62119794	55,83704298	Комбо №2. Музей ГОН + павильон «Россия — моя история»	free	Развлечение	4
14860	37,62189531	55,83507858	Комбо №3. Центр «Космонавтика и авиация» + самолет Як-42	free	Развлечение	5
20752	37,62834299	55,82907903	Сказочное комбо. Театр сказок + «Союзмультпарк»	free	Развлечение	6
20753	37,62834299	55,82907903	Сказочное комбо. Театр сказок + «Робостанция»	free	Развлечение	7
20754	37,62834299	55,82907903	Сказочное комбо. Театр сказок + галерея «Лес»	free	Развлечение	8
19852	37,62834299	55,82907903	Сказочное комбо. Театр сказок + Музей оптических иллюзий	free	Развлечение	9
11787	37,62228057	55,83538534	Выставка «Сокровища гробницы Тутанхамона»	free	Выставка	1
17041	37,62189531	55,83507858	Комбо-программа выходного дня. Центр «Космонавтика и авиация» + «Городская ферма»	free	Развлечение	2
14969	37,62189531	55,83507858	Комбо-программа выходного дня. Центр «Космонавтика и авиация» + высотный веревочный парк Sky Town	free	Развлечение	3
4592			«Мода в архитектуре ВДНХ». Спецпроект об ультрамодных луках и фэшн-локациях для фотосессий	free	Онлайн	4
10313	37,62698722	55,83274949	Пушкинская карта на ВДНХ	free	Образование	5
28314	37,62189531	55,83507858	Школа юных космонавтов	free	Образование	6
28316	37,62698722	55,83274949	Мастер слова. От кириллицы до эмодзи	free	Образование	7
28320	37,63807977	55,82657411	Школа дружбы: как узнать ВДНХ	free	Образование	8
28323	37,62119794	55,83704298	Специальный транспорт на ВДНХ: особая служба	free	Образование	9
28325	37,62520309	55,83639739	Юный кондитер: сладости своими руками	free	Образование	1
6407	37,619371	55,83297826	Выставка «Океан юрского периода»	not free	Выставка	2
6954	37,63468155	55,83351888	Творческие занятия в студии Artdomus	not free	Лекции и мастер-классы	3
8531	37,63452936	55,83337554	Занятия по традиционной китайской гимнастике «Оздоровительный цигун»	free	Спорт	4
713	37,62298921	55,83216868	Бесплатные экскурсии для школьных групп	free	Экскурсия	5
5185	37,62189531	55,83507858	Аудиогид по постоянной экспозиции центра «Космонавтика и авиация»	not free	Экскурсия	6
5186	37,63681054	55,82585923	Аудиогид по территории ВДНХ	not free	Экскурсия	7
12647	37,62698722	55,83274949	Инклюзивные экскурсии для детей с ментальными расстройствами по заявкам от посетителей	not free	Экскурсия	8
12649	37,62698722	55,83274949	Инклюзивные экскурсии для детей с ментальными расстройствами по заявкам от учебного или социального учреждения	free	Экскурсия	9
3954	37,61649335	55,83230635	Детский скалодром Funtopia	free	Детская площадка	1
13423	37,62834299	55,82907903	Детский праздник в Театре сказок	free	Детская площадка	2
25684	37,61632894	55,8363261	Детская экскурсия «Ребята и пчелята»	free	Детская площадка	3
